항구청명,사용년월,사용월,시설코드,시설서브코드,시설명,접안시간,처리실적
"감천","2025","08","MKC","03","감천 중앙부두 3선석","401","66795"
"감천","2025","08","MK5","01","감천 5부두 1선석","902","15"
"감천","2025","08","MK4","01","감천 4부두 1선석(국제수산물부두)","489","604"
"감천","2025","08","MK1","02","감천 1부두 2선석","1103","2350"
"감천","2025","08","MK2","03","감천 2부두 3선석","233","8064"
"감천","2025","08","MK6","01","감천 6부두 1선석","195","21294"
"감천","2025","08","MK7","01","감천 7부두 1선석","654","33592"
"감천","2025","08","MK6","02","감천 6부두 2선석","581","32654"
"감천","2025","08","MK2","01","감천 2부두 1선석","692","20160"
"감천","2025","08","MKC","01","감천 중앙부두 1선석","188","11835"
"감천","2025","08","MK5","02","감천 5부두 2선석","311","2710"
"감천","2025","08","MKC","05","감천 중앙부두 5선석","359","24925"
"감천","2025","08","MKC","04","감천 중앙부두 4선석","150","13297"
"감천","2025","08","MK3","03","감천 3부두 3선석","532","2778"
"감천","2025","08","MK3","02","감천 3부두 2선석","1041","11270"
"감천","2025","08","MK1","04","감천 1부두 4선석","774","4053"
"감천","2025","08","MK3","01","감천 3부두 1선석","1262","8311"
"감천","2025","08","MK7","02","감천 7부두 2선석","241","22598"
"감천","2025","08","MK2","04","감천 2부두 4선석","599","7429"
"감천","2025","08","MKC","02","감천 중앙부두 2선석","312","34517"
"감천","2025","08","MK2","02","감천 2부두 2선석","659","14045"
"감천","2025","08","MK1","03","감천 1부두 3선석","741","4583"
"감천","2025","08","MK6","03","감천 6부두 3선석","303","20387"
"감천","2025","08","MK5","03","감천 5부두 3선석","386","45395"
"감천","2025","08","MK3","04","감천 3부두 4선석","1310","16158"
"감천","2025","09","MK5","01","감천 5부두 1선석","48","5"
"감천","2025","09","MKC","02","감천 중앙부두 2선석","312","32541"
"감천","2025","09","MK1","04","감천 1부두 4선석","771","7585"
"감천","2025","09","MK6","02","감천 6부두 2선석","501","36342"
"감천","2025","09","MK1","01","감천 1부두 1선석","450","0"
"감천","2025","09","MK6","01","감천 6부두 1선석","180","27809"
"감천","2025","09","MKC","01","감천 중앙부두 1선석","317","29807"
"감천","2025","09","MKC","05","감천 중앙부두 5선석","285","32970"
"감천","2025","09","MK7","01","감천 7부두 1선석","361","33581"
"감천","2025","09","MK3","03","감천 3부두 3선석","940","6088"
"감천","2025","09","MQA","03","삼한안벽-03","0","1091"
"감천","2025","09","MK6","03","감천 6부두 3선석","271","11576"
"감천","2025","09","MK2","02","감천 2부두 2선석","556","9713"
"감천","2025","09","MK5","03","감천 5부두 3선석","363","46946"
"감천","2025","09","MK1","02","감천 1부두 2선석","277","2326"
"감천","2025","09","MKC","03","감천 중앙부두 3선석","420","39489"
"감천","2025","09","MK2","04","감천 2부두 4선석","685","15022"
"감천","2025","09","MK1","03","감천 1부두 3선석","506","2370"
"감천","2025","09","MK2","01","감천 2부두 1선석","531","17156"
